timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2026-02-26 03:46:23,"$68,028.74",$1.36T,$55.33B,19.99M BTC,4% (24h),,
2026-02-26 04:10:19,"$68,120.30",$1.36T,$55.34B,19.99M BTC,3.96% (24h),,
2026-02-26 05:07:44,"$68,588.47",$1.37T,$55.85B,19.99M BTC,4.74% (24h),,
2026-02-26 06:05:58,"$68,359.21",$1.36T,$56.43B,19.99M BTC,4.62% (24h),,
2026-02-26 06:53:45,"$68,002.28",$1.35T,$56.26B,19.99M BTC,3.96% (24h),,
2026-02-26 08:10:39,"$68,138.36",$1.36T,$55.4B,19.99M BTC,3.04% (24h),,
2026-02-26 09:16:30,"$67,956.09",$1.35T,$53.35B,19.99M BTC,2.24% (24h),,
2026-02-26 10:10:32,"$67,397.36",$1.34T,$53.65B,19.99M BTC,0.84% (24h),,
2026-02-26 11:08:15,"$67,165.62",$1.34T,$53.66B,19.99M BTC,0.71% (24h),,
2026-02-26 12:17:51,"$66,976.93",$1.33T,$52.2B,19.99M BTC,2.33% (24h),,
2026-02-26 13:08:44,"$66,592.36",$1.33T,$50.7B,19.99M BTC,3.01% (24h),,
2026-02-26 14:11:08,"$67,635.97",$1.35T,$49.29B,19.99M BTC,1.98% (24h),,
2026-02-26 14:55:33,"$67,646.41",$1.35T,$48.79B,19.99M BTC,2.05% (24h),,
2026-02-26 15:40:39,"$67,418.74",$1.34T,$48.37B,19.99M BTC,2.45% (24h),,
2026-02-26 16:20:43,"$67,349.77",$1.34T,$47.49B,19.99M BTC,2.39% (24h),,
2026-02-26 16:51:46,"$67,538.92",$1.35T,$46.54B,19.99M BTC,2.14% (24h),,
2026-02-26 17:21:38,"$67,423.12",$1.34T,$45.56B,19.99M BTC,2.16% (24h),,
2026-02-26 17:58:50,"$67,537.14",$1.35T,$44.38B,19.99M BTC,1.12% (24h),,
2026-02-26 18:38:47,"$67,610.63",$1.35T,$43.85B,19.99M BTC,0.77% (24h),,
2026-02-26 19:01:06,"$67,451.84",$1.34T,$43B,19.99M BTC,0.67% (24h),N/A,N/A
